Date,Price,Generation
2024-02-01 00:00:00+00:00,50.67875,3248.9733333333334
2024-02-02 00:00:00+00:00,52.718333333333334,3209.8279166666666
2024-02-03 00:00:00+00:00,35.06666666666667,3388.775416666667
2024-02-04 00:00:00+00:00,15.485,3578.181666666667
2024-02-05 00:00:00+00:00,42.121249999999996,1988.6595833333333
2024-02-06 00:00:00+00:00,48.75458333333333,2549.9125
2024-02-07 00:00:00+00:00,79.4725,2055.45375
2024-02-08 00:00:00+00:00,88.43208333333332,987.9812499999999
2024-02-09 00:00:00+00:00,63.12708333333333,3078.1366666666668
2024-02-10 00:00:00+00:00,66.55333333333333,3082.2979166666664
2024-02-11 00:00:00+00:00,61.497083333333336,2879.3775
2024-02-12 00:00:00+00:00,74.73541666666667,1128.9720833333333
2024-02-13 00:00:00+00:00,71.57791666666667,1344.7562500000001
2024-02-14 00:00:00+00:00,68.16416666666667,622.2900000000001
2024-02-15 00:00:00+00:00,70.26625,1040.9383333333333
2024-02-16 00:00:00+00:00,55.03375,2055.1025
2024-02-17 00:00:00+00:00,65.32375,1364.7341666666669
2024-02-18 00:00:00+00:00,53.184583333333336,1644.00375
2024-02-19 00:00:00+00:00,63.65041666666667,1572.1483333333333
2024-02-20 00:00:00+00:00,59.951249999999995,2143.0099999999998
2024-02-21 00:00:00+00:00,50.99208333333333,2400.4995833333332
2024-02-22 00:00:00+00:00,49.20791666666667,2191.5645833333333
2024-02-23 00:00:00+00:00,37.25625,3068.285
2024-02-24 00:00:00+00:00,57.189166666666665,1285.7645833333333
2024-02-25 00:00:00+00:00,61.09375,841.9916666666667
2024-02-26 00:00:00+00:00,66.26833333333333,660.1154166666666
2024-02-27 00:00:00+00:00,73.83624999999999,625.2162500000001
2024-02-28 00:00:00+00:00,68.53208333333333,1776.7150000000001
2024-02-29 00:00:00+00:00,50.21416666666667,2868.1991666666668
2024-03-01 00:00:00+00:00,64.40208333333334,1905.5337499999998
2024-03-02 00:00:00+00:00,63.973749999999995,1282.9754166666667
2024-03-03 00:00:00+00:00,59.682500000000005,1685.7395833333333
2024-03-04 00:00:00+00:00,69.58541666666666,1919.135
2024-03-05 00:00:00+00:00,64.84416666666667,2307.9012500000003
2024-03-06 00:00:00+00:00,82.835,1022.3633333333333
2024-03-07 00:00:00+00:00,76.32416666666667,847.1191666666667
2024-03-08 00:00:00+00:00,66.61833333333334,1170.6845833333334
2024-03-09 00:00:00+00:00,43.20458333333334,2578.69625
2024-03-10 00:00:00+00:00,34.01916666666667,3233.0241666666666
2024-03-11 00:00:00+00:00,60.385416666666664,3041.9808333333335
2024-03-12 00:00:00+00:00,86.445,773.06625
2024-03-13 00:00:00+00:00,63.946666666666665,1821.5900000000001
2024-03-14 00:00:00+00:00,54.24125,2268.9720833333336
2024-03-15 00:00:00+00:00,49.55583333333333,2402.045833333333
2024-03-16 00:00:00+00:00,43.291666666666664,3254.66
2024-03-17 00:00:00+00:00,59.209583333333335,1495.5200000000002
2024-03-18 00:00:00+00:00,68.18583333333333,2259.0983333333334
2024-03-19 00:00:00+00:00,72.72416666666668,2136.9691666666668
2024-03-20 00:00:00+00:00,91.34291666666667,605.22375
2024-03-21 00:00:00+00:00,79.41625,1256.5475
2024-03-22 00:00:00+00:00,49.61333333333334,2698.53125
2024-03-23 00:00:00+00:00,31.227083333333336,2650.2625000000003
2024-03-24 00:00:00+00:00,44.75958333333333,1135.1170833333333
2024-03-25 00:00:00+00:00,84.55708333333332,707.02
2024-03-26 00:00:00+00:00,62.29833333333334,1514.6274999999998
2024-03-27 00:00:00+00:00,70.04125,1648.42375
2024-03-28 00:00:00+00:00,52.03583333333333,1427.8329166666665
2024-03-29 00:00:00+00:00,37.762499999999996,2203.8675
2024-03-30 00:00:00+00:00,52.08166666666667,1331.1704166666666
2024-03-31 00:00:00+00:00,59.72695652173913,885.1565217391304
2024-04-01 00:00:00+00:00,47.864583333333336,884.0104166666666
2024-04-02 00:00:00+00:00,46.55375,1828.9154166666667
2024-04-03 00:00:00+00:00,81.1825,1552.45
2024-04-04 00:00:00+00:00,61.92041666666666,2152.8304166666667
2024-04-05 00:00:00+00:00,49.193333333333335,1788.4350000000002
2024-04-06 00:00:00+00:00,33.253750000000004,1869.46125
2024-04-07 00:00:00+00:00,10.649583333333334,2838.9366666666665
2024-04-08 00:00:00+00:00,65.24,1593.6779166666665
